tweet_id,tweet_text,created_at,author_id,sentiment_score,sentiment_label
1942041315111211120,"Master heads to the airport in the morning for Spain 🇪🇸✈️🌞

Make sure it’s a good trip for your king, I want to see lots of sends for the airport and my trip! Serve your king correctly &amp; start the trip off well!😈🫡🙇🏽‍♂️

Approach with your wallets in hand 🤑

#Alpha #nike #findom https://t.co/ULsGoLDDo4",2025-07-07 02:01:45+00:00,1709174712025108480,0.8689,positive
1942039357000417705,What’s everyone’s take on EBay Authenticity Guarantee? Bought this Obsidian Bucky Irving #/5 Nike patch for my PC with the AG and it came in this cool box and sealed with a holo sticker. @CardPurchaser  #Panini #Nike https://t.co/l9GsiPyXIs,2025-07-07 01:53:58+00:00,2282313655,0.561,positive
1942037467420389791,"I wake up and go get that cake I ain’t the type to relax 
#explore #explorepage #Viral #Trending #bassproshops #nirvana #nike #blazer #offwhite #style #fit #fashion #drip #outfit #ootd #grwm #outfitoftheday #getreadywithme #walmart #atlanta #atl #lacedwithdrip #4thofjuly #weekend https://t.co/Cj81ui1ttW",2025-07-07 01:46:28+00:00,192377439,0.6597,positive
1942035456331297248,#ส่งต่อรองเท้า #รองเท้าเกาหลี #Nike Women's Court Vision Alta Shoes แท้ sz.38 ขาว ใหม่ 900 ฿ #ตลาดนัดบังทัน #ตลาดนัดEXO #ตลาดนัดgot7 #รองเท้าลงหลุม #รองเท้าfila #ตลาดนัดรวมด้อม #รองเท้าผ้าใบ #ตลาดนัดnct #ตลาดนัดบพ #ตลาดนัดรถไฟบังทัน #ตลาดนัดสวนแครอท #พรีออเดอร์เกาหลี #ตลาดนัดive https://t.co/WDlD8KI10K,2025-07-07 01:38:28+00:00,121467811,0.25,positive
1942029818284933260,@_23isBACK_  please retro these I need another pair. #nike #jordan https://t.co/5gZtscnRHz,2025-07-07 01:16:04+00:00,76119029,0.3182,positive
1942026747912053090,"Enjoyed a weekend family celebration, so I brought out a special pair for the occasion 🔥

#kotd #Nike #SNKRS #sneakerhead #AirJordan #MichaelJordan #yoursneakersaredope #snkrskickcheck #snkrsliveheatingup @Nike @nikestore @Jumpman23 @OHSUDoernbecher https://t.co/WvmUI9MkUv",2025-07-07 01:03:52+00:00,112333832,0.7402,positive
1942025812758102098,"Levi's x Nike Air Max 95 ""Denim White/Ecru""
Colorway: Light Orewood Brown/White/Ecru
Style Number: 
Release Date: July 11, 2025
Price: $205
#AirMax #DenimWhiteEcru #levis #nike https://t.co/Hlw5YVa8ny",2025-07-07 01:00:09+00:00,1477025527164719109,0.0772,positive
1942023722459869675,"Oh hi yall, I’m still alive 😘😅, just single now🤪 #Activegains #LGBTQ #youngla #latino #gymlife #pushthelimit #FitnessMotivation #booty #backgains #transformingup #InspireGreatness #SingleAndMingle #loveislove #mypeace #buff #vers #Nike #allblack  #California #FresnoCa #gb3 https://t.co/BQuJHHqwih",2025-07-07 00:51:51+00:00,1143026551933456384,0.3818,positive
1942022537220661343,"DETAILED LOOK at the
@deionsanders x @WellOffForever DT Samples &amp; they look AMAZING! Who's trying to get their hands on a pair? #Explore #Sneakerheads #Sneakers #Leaks #Love #Nike #Shoes #Fashion #Kicks #Sneaker #Hypebeast #Sneakersaddict #Style #NikeAir #DeionSanders #Primetime https://t.co/zEW7KOkho3",2025-07-07 00:47:08+00:00,387112561,0.8402,positive
1942021877104304278,EVERY AIR JORDAN 1 TO 40 RANKED SHARE YOUR FAVORITE NUMBER IN THE COMMENTS #jordans #airjordan #michaeljordan #jordan #Nike #sneakers #shoes #basketballshoes https://t.co/6iof4PxluT,2025-07-07 00:44:31+00:00,1632575518439555074,0.6705,positive
